125 1 2 0 1 1.196990
125 3 1 0 1 0.674820
125 4 1 0 0 0.777130
125 5 1 1 1 0.997350
125 7 2 0 1 0.616440
125 8 2 0 1 0.476440
125 9 2 0 1 0.623750
125 12 1 1 1 0.563430
125 14 2 0 1 0.722320
125 15 1 0 0 0.610400
125 16 1 1 0 0.548960
125 17 2 0 1 0.838100
125 18 2 1 1 0.535750
125 19 1 1 0 0.806890
125 20 2 1 1 0.925240
125 21 2 1 1 0.599720
125 23 2 0 0 0.685440
125 24 1 0 0 0.719720
125 25 1 0 0 0.709000
125 27 1 0 0 0.896180
125 28 2 1 1 0.637950
125 29 2 0 1 0.897570
125 30 1 1 0 0.830600
125 31 2 0 1 0.589220
125 32 1 1 0 0.770290
125 33 2 0 1 1.007050
125 34 1 0 1 0.721210
125 35 2 1 1 0.980830
125 36 1 0 1 0.992800
125 37 1 0 1 0.739970
125 39 2 1 1 0.719750
125 41 1 1 0 0.649190
125 42 1 1 1 0.824980
125 43 2 1 1 0.634290
125 44 1 0 0 0.505530
125 46 2 0 1 0.687640
125 47 2 1 0 0.717280
125 48 2 0 1 0.729080
125 49 2 1 1 0.803230
125 52 1 1 0 0.658540
125 53 1 1 1 0.833250
125 55 1 1 1 1.160750
125 57 1 0 1 0.685110
125 58 2 1 1 0.635410
125 59 1 0 0 0.648230
125 61 2 1 0 1.398670
125 62 1 0 0 1.376660
125 63 2 1 1 1.017170
125 64 2 1 1 0.618120
125 66 1 1 1 0.541300
125 67 2 1 1 0.614750
125 68 1 1 0 0.817960
125 70 2 1 1 0.661840
125 73 1 0 0 0.928200
125 74 2 0 0 1.176350
125 75 2 1 1 0.901200
125 77 1 0 1 0.823850
125 78 1 0 0 0.784980
125 79 1 0 1 0.853210
125 80 2 0 0 0.910160
125 81 2 0 1 1.068790
125 82 2 1 1 1.052260
125 83 2 0 0 0.895970
125 84 2 1 1 0.997930
125 85 1 1 0 0.835420
125 87 2 0 1 0.926840
125 88 1 1 0 0.589840
125 90 1 1 1 1.136750
125 91 1 1 0 1.261150
125 92 2 0 1 0.620850
125 94 1 0 0 1.144930
125 95 1 0 0 0.526880
125 96 1 0 1 0.724590
125 97 2 0 1 1.299570
125 99 1 1 1 0.788900
125 101 1 1 0 0.622050
125 102 1 1 0 0.774440
125 103 1 1 0 0.797810
125 104 1 0 0 0.664010
125 105 2 0 0 0.771590
125 106 2 1 1 0.614940
125 107 2 0 1 1.043020
125 109 2 1 1 0.701230
125 110 2 0 1 0.611920
125 111 2 1 1 0.506420
125 112 1 1 0 0.518550
125 114 1 1 1 0.897340
125 115 1 0 1 0.853080
125 116 1 1 1 1.118360
125 117 2 0 1 0.938980
125 118 2 1 0 1.109050
125 119 1 1 1 0.991670
125 120 2 0 1 0.734850
125 122 2 0 1 0.764690
125 123 1 0 0 1.098360
125 124 1 0 1 0.795080
125 127 1 1 0 1.141380
125 128 1 1 1 0.652260
125 129 2 1 1 0.732970
125 131 1 0 1 0.909210
125 132 1 0 1 0.493650
125 133 1 0 0 0.803540
125 134 1 1 1 0.669050
125 135 1 0 1 0.568850
125 136 1 0 1 0.541240
125 137 1 0 1 0.778070
125 138 2 1 1 0.756780
125 141 2 1 0 1.360390
125 142 2 1 1 0.798380
125 143 1 0 0 1.069080
125 144 1 1 1 0.985400
125 146 1 0 0 1.290560
125 147 2 0 1 0.824140
125 149 2 0 1 0.859300
125 150 2 0 1 0.646280
125 151 2 1 1 1.304890
125 155 1 1 1 0.514360
125 156 2 1 1 0.616290
125 157 2 0 1 0.650760
125 158 2 0 1 0.634430
125 159 2 1 1 0.680090
125 160 2 1 1 0.883330
125 162 2 0 1 0.842430
125 163 1 0 0 0.483100
125 164 1 1 0 0.821730
125 165 2 0 1 1.030690
125 166 1 0 1 0.806530
125 167 1 0 0 0.773480
125 169 1 1 0 0.780820
125 171 2 1 1 0.826880
125 172 1 1 1 0.653010
